policy,repository,metric,label,precision,recall,f1,support,true_label,predicted_label,value
leakage_sensitive,bitcoin/bitcoin,class,bug,0.7808219178082192,0.57,0.6589595375722543,100,,,
leakage_sensitive,bitcoin/bitcoin,class,feature,0.7377049180327869,0.9183673469387755,0.8181818181818182,98,,,
leakage_sensitive,bitcoin/bitcoin,class,question,0.6213592233009708,0.64,0.6305418719211823,100,,,
leakage_sensitive,bitcoin/bitcoin,macro,,0.7132953530473257,0.7094557823129252,0.7025610758917517,298,,,
leakage_sensitive,bitcoin/bitcoin,micro,,0.7080536912751678,0.7080536912751678,0.7080536912751678,298,,,
leakage_sensitive,bitcoin/bitcoin,confusion,,,,,,bug,bug,57
leakage_sensitive,bitcoin/bitcoin,confusion,,,,,,bug,feature,9
leakage_sensitive,bitcoin/bitcoin,confusion,,,,,,bug,question,34
leakage_sensitive,bitcoin/bitcoin,confusion,,,,,,feature,bug,3
leakage_sensitive,bitcoin/bitcoin,confusion,,,,,,feature,feature,90
leakage_sensitive,bitcoin/bitcoin,confusion,,,,,,feature,question,5
leakage_sensitive,bitcoin/bitcoin,confusion,,,,,,question,bug,13
leakage_sensitive,bitcoin/bitcoin,confusion,,,,,,question,feature,23
leakage_sensitive,bitcoin/bitcoin,confusion,,,,,,question,question,64
leakage_sensitive,facebook/react,class,bug,0.9207920792079208,0.93,0.9253731343283582,100,,,
leakage_sensitive,facebook/react,class,feature,0.7288135593220338,0.86,0.7889908256880734,100,,,
leakage_sensitive,facebook/react,class,question,0.7901234567901234,0.64,0.7071823204419889,100,,,
leakage_sensitive,facebook/react,macro,,0.8132430317733593,0.81,0.8071820934861402,300,,,
leakage_sensitive,facebook/react,micro,,0.81,0.81,0.81,300,,,
leakage_sensitive,facebook/react,confusion,,,,,,bug,bug,93
leakage_sensitive,facebook/react,confusion,,,,,,bug,feature,2
leakage_sensitive,facebook/react,confusion,,,,,,bug,question,5
leakage_sensitive,facebook/react,confusion,,,,,,feature,bug,2
leakage_sensitive,facebook/react,confusion,,,,,,feature,feature,86
leakage_sensitive,facebook/react,confusion,,,,,,feature,question,12
leakage_sensitive,facebook/react,confusion,,,,,,question,bug,6
leakage_sensitive,facebook/react,confusion,,,,,,question,feature,30
leakage_sensitive,facebook/react,confusion,,,,,,question,question,64
leakage_sensitive,microsoft/vscode,class,bug,0.7840909090909091,0.69,0.7340425531914894,100,,,
leakage_sensitive,microsoft/vscode,class,feature,0.6727272727272727,0.74,0.7047619047619048,100,,,
leakage_sensitive,microsoft/vscode,class,question,0.7352941176470589,0.75,0.7425742574257426,100,,,
leakage_sensitive,microsoft/vscode,macro,,0.730704099821747,0.7266666666666666,0.7271262384597122,300,,,
leakage_sensitive,microsoft/vscode,micro,,0.7266666666666667,0.7266666666666667,0.7266666666666667,300,,,
leakage_sensitive,microsoft/vscode,confusion,,,,,,bug,bug,69
